Unnamed: 0,Source_ID,Target_ID,Source_Mol,Target_Mol,Source_Mol_pCMC,Target_Mol_pCMC,Delta_pCMC,Source_Mol_Area_min,Target_Mol_Area_min,Delta_Area_min,Source_Mol_AW_ST_CMC,Target_Mol_AW_ST_CMC,Delta_AW_ST_CMC
13,compound_410,compound_391,CCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,2.0,2.35654732351381,"(0.3, 0.5]",0.451528549194336,0.417261451482773,no_change,30.0,25.4,no_change
14,compound_412,compound_391,CCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.23657200643706,2.35654732351381,"(1.1, 1.3]",0.4986629486083979,0.417261451482773,no_change,33.2,25.4,high->low
15,compound_419,compound_391,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.920818753952375,2.35654732351381,"(1.3, 1.5]",0.524360358715057,0.417261451482773,no_change,30.0,25.4,no_change
16,compound_391,compound_392,CCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,2.35654732351381,2.67778070526608,"(0.3, 0.5]",0.417261451482773,0.57,no_change,25.4,29.681543350219695,no_change
17,compound_412,compound_410,CCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.23657200643706,2.0,"(0.7, 0.9]",0.4986629486083979,0.451528549194336,no_change,33.2,30.0,high->low
18,compound_419,compound_410,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.920818753952375,2.0,"(0.9, 1.1]",0.524360358715057,0.451528549194336,no_change,30.0,30.0,no_change
19,compound_410,compound_411,CCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,2.0,2.0362121726544498,"(-0.1, 0.1]",0.451528549194336,0.36,no_change,30.0,29.496780395507802,no_change
20,compound_419,compound_412,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.920818753952375,1.23657200643706,"(0.3, 0.5]",0.524360358715057,0.4986629486083979,no_change,30.0,33.2,low->high
21,compound_412,compound_413,CCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.23657200643706,2.0268721464003,"(0.7, 0.9]",0.4986629486083979,0.456707417964935,no_change,33.2,29.8695068359375,high->low
22,compound_419,compound_420,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.920818753952375,1.42021640338319,"(0.3, 0.5]",0.524360358715057,0.505884647369385,no_change,30.0,30.285623550415,no_change
23,compound_329,compound_346,CCCCCC(=O)CC(=O)NC1CCOC1=O,CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,2.6635402661514704,4.01322826573376,"(1.3, 1.5]",0.524054527282715,0.44,no_change,39.0571899414063,43.8,no_change
24,compound_40,compound_39,CCCCCCCCC(O)C(O)CCCCCCCC(=O)NCCO,CCCCCCCCC(O)C(O)CCCCCCCC(=O)NCCCO,5.2432737350463885,5.33434724807739,"(-0.1, 0.1]",0.389101952314377,0.3848487734794621,no_change,35.0,39.0,no_change
25,compound_349,compound_346,CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,1.23657200643706,4.01322826573376,"(2.7, 2.9]",0.40257316827774,0.44,no_change,26.711624145507802,43.8,low->high
26,compound_349,compound_347,CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,1.23657200643706,2.17392519729917,"(0.9, 1.1]",0.40257316827774,0.442536652088165,no_change,26.711624145507802,33.2718467712402,low->high
27,compound_349,compound_331,CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,CCCCCCC(=O)OCC(O)C(O)C(O)CO,1.23657200643706,2.0,"(0.7, 0.9]",0.40257316827774,0.450874418020248,no_change,26.711624145507802,28.9030647277832,no_change
28,compound_349,compound_48,CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,CCCCCCCCCC(O)CO,1.23657200643706,2.63808338133136,"(1.3, 1.5]",0.40257316827774,0.22382488846778892,no_change,26.711624145507802,24.110853195190398,no_change
29,compound_336,compound_347,CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,1.16115090926274,2.17392519729917,"(0.9, 1.1]",0.516759157180786,0.442536652088165,no_change,32.6591110229492,33.2718467712402,no_change
30,compound_344,compound_347,CCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,1.6777807052660805,2.17392519729917,"(0.3, 0.5]",0.4751131534576421,0.442536652088165,no_change,32.987644195556605,33.2718467712402,no_change
31,compound_56,compound_59,CCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCC(O)CCO,3.57839607313017,3.73015451431274,"(0.1, 0.3]",0.455427080392838,0.24337923526763894,no_change,34.2848739624023,23.5,high->low
32,compound_56,compound_60,CCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCC(O)CO,3.57839607313017,3.74496883665445,"(0.1, 0.3]",0.455427080392838,0.26,no_change,34.2848739624023,22.5,high->low
33,compound_57,compound_56,CCCCCCCCCCC(=O)NCCOCCOCCOCCO,CCCCCCCCCCC(=O)N(CCO)CCO,3.3010299956639804,3.57839607313017,"(0.1, 0.3]",0.448722779750824,0.455427080392838,no_change,30.4918518066406,34.2848739624023,low->high
34,compound_382,compound_57,CCCCCCCCCCOCCOCCOCCO,CCCCCCCCCCC(=O)NCCOCCOCCOCCO,3.22184874961636,3.3010299956639804,"(-0.1, 0.1]",0.382906019687653,0.448722779750824,no_change,27.5059814453125,30.4918518066406,no_change
35,compound_70,compound_353,CCCCCCCCCCCC(O)NCCOCCO,CCCCCCCCCCCC(=O)N(C)CC(=O)O,3.39804859586648,3.63078414258986,"(0.1, 0.3]",0.422957271337509,0.38,no_change,30.2930755615234,26.1,no_change
36,compound_353,compound_73,CCCCCCCCCCCC(=O)N(C)CC(=O)O,CCCCCCCCCCCC(O)OCCOCC,3.63078414258986,4.48148606012211,"(0.7, 0.9]",0.38,0.33619472384452803,no_change,26.1,26.6185817718506,no_change
37,compound_353,compound_74,CCCCCCCCCCCC(=O)N(C)CC(=O)O,CCCCCCCCCCCC(O)OCCOCCOCC,3.63078414258986,4.2839966563652006,"(0.5, 0.7]",0.38,0.42,no_change,26.1,27.9,no_change
38,compound_63,compound_353,CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(=O)N(C)CC(=O)O,3.57839607313017,3.63078414258986,"(-0.1, 0.1]",0.44,0.38,no_change,34.7,26.1,high->low
40,compound_70,compound_63,CCCCCCCCCCCC(O)NCCOCCO,CCCCCCCCCCCC(=O)N(CCO)CCO,3.39804859586648,3.57839607313017,"(0.1, 0.3]",0.422957271337509,0.44,no_change,30.2930755615234,34.7,low->high
41,compound_63,compound_73,CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(O)OCCOCC,3.57839607313017,4.48148606012211,"(0.9, 1.1]",0.44,0.33619472384452803,no_change,34.7,26.6185817718506,high->low
42,compound_63,compound_74,CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(O)OCCOCCOCC,3.57839607313017,4.2839966563652006,"(0.7, 0.9]",0.44,0.42,no_change,34.7,27.9,high->low
47,compound_353,compound_356,CCCCCCCCCCCC(=O)N(C)CC(=O)O,CCCCCCCCCCCC(=O)NC1CCOC1=O,3.63078414258986,5.397940008672039,"(1.7, 1.9]",0.38,0.3527296185493471,no_change,26.1,36.22560501098629,low->high
48,compound_63,compound_356,CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(=O)NC1CCOC1=O,3.57839607313017,5.397940008672039,"(1.7, 1.9]",0.44,0.3527296185493471,no_change,34.7,36.22560501098629,no_change
50,compound_63,compound_64,CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(=O)NCCOCCOCCOCCO,3.57839607313017,3.85725331306458,"(0.1, 0.3]",0.44,0.439505100250244,no_change,34.7,30.5,high->low
51,compound_70,compound_64,CCCCCCCCCCCC(O)NCCOCCO,CCCCCCCCCCCC(=O)NCCOCCOCCOCCO,3.39804859586648,3.85725331306458,"(0.3, 0.5]",0.422957271337509,0.439505100250244,no_change,30.2930755615234,30.5,no_change
52,compound_71,compound_64,CCCCCCCCCCCC(O)NCCOCCOCCO,CCCCCCCCCCCC(=O)NCCOCCOCCOCCO,3.292004253577069,3.85725331306458,"(0.5, 0.7]",0.472990334033966,0.439505100250244,no_change,31.2091941833496,30.5,high->low
53,compound_336,compound_344,CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,CCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,1.16115090926274,1.6777807052660805,"(0.5, 0.7]",0.516759157180786,0.4751131534576421,no_change,32.6591110229492,32.987644195556605,no_change
54,compound_196,compound_376,CCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,2.50932955741882,2.8860566476931604,"(0.3, 0.5]",0.401482880115509,0.42,no_change,35.7,36.1,no_change
55,compound_196,compound_197,CCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCN(C)C(=O)COCOCOCO,2.50932955741882,2.8894102897007503,"(0.3, 0.5]",0.401482880115509,0.419328047266123,no_change,35.7,35.9,no_change
56,compound_376,compound_197,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,CCCCCCCCCCN(C)C(=O)COCOCOCO,2.8860566476931604,2.8894102897007503,"(-0.1, 0.1]",0.42,0.419328047266123,no_change,36.1,35.9,no_change
57,compound_197,compound_60,CCCCCCCCCCN(C)C(=O)COCOCOCO,CCCCCCCCCCC(O)CO,2.8894102897007503,3.74496883665445,"(0.7, 0.9]",0.419328047266123,0.26,no_change,35.9,22.5,high->low
58,compound_377,compound_376,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,2.63827216398241,2.8860566476931604,"(0.1, 0.3]",0.4,0.42,no_change,38.9,36.1,no_change
59,compound_161,compound_368,CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.54842758178711,3.85387196432176,"(0.3, 0.5]",0.373906910419464,0.42,no_change,34.2,35.2,no_change
60,compound_161,compound_162,CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCN(C)C(=O)COCOCOCO,3.54842758178711,3.83564714421556,"(0.1, 0.3]",0.373906910419464,0.4161752048054749,no_change,34.2,34.4,no_change
61,compound_162,compound_368,CCCCCCCCCCCCN(C)C(=O)COCOCOCO,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.83564714421556,3.85387196432176,"(-0.1, 0.1]",0.4161752048054749,0.42,no_change,34.4,35.2,no_change
62,compound_163,compound_162,CCCCCCCCCCCCN(C)C.Cl,CCCCCCCCCCCCN(C)C(=O)COCOCOCO,2.59598588943481,3.83564714421556,"(1.1, 1.3]",0.521179378032684,0.4161752048054749,no_change,38.5,34.4,no_change
63,compound_372,compound_162,CCCCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,CCCCCCCCCCCCN(C)C(=O)COCOCOCO,3.72124639904717,3.83564714421556,"(0.1, 0.3]",0.44874995946884105,0.4161752048054749,no_change,30.925720214843803,34.4,low->high
64,compound_369,compound_368,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.60205999132796,3.85387196432176,"(0.1, 0.3]",0.42,0.42,no_change,36.0,35.2,no_change
65,compound_145,compound_365,CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,4.348168849945069,4.619788758288389,"(0.1, 0.3]",0.390313446521759,0.42,no_change,34.0,35.0,no_change
68,compound_366,compound_365,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,4.44369749923271,4.619788758288389,"(0.1, 0.3]",0.44,0.42,no_change,35.7,35.0,no_change
70,compound_111,compound_112,CCCCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCCCCCCCN(C)C(=O)COCOCOCO,4.93277835845947,5.54515513999149,"(0.5, 0.7]",0.375690430402756,0.418271805333463,no_change,32.1,32.3,no_change
71,compound_308,compound_307,COCCOCCOCCCOCCOCCOCCNC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COCCOCCOCCCOCCOCCOCCNC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.26003230324049,4.92118081690115,"(1.5, 1.7]",0.5750049948692321,0.566347241401672,no_change,31.2485160827637,32.818603515625,no_change
72,compound_47,compound_58,CCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,CCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,3.53589701652527,3.82939291000366,"(0.1, 0.3]",0.392237216234207,0.376059979200363,no_change,33.0,34.1,no_change
73,compound_377,compound_379,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,2.63827216398241,2.8860566476931604,"(0.1, 0.3]",0.4,0.42,no_change,38.9,33.0,no_change
74,compound_1,compound_2,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,3.03402948379517,3.3506622314453103,"(0.3, 0.5]",0.612738609313965,0.5723379254341129,high->low,35.0,31.5,no_change
75,compound_2,compound_3,CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,3.3506622314453103,3.58840680122375,"(0.1, 0.3]",0.5723379254341129,0.571093559265137,no_change,31.5,29.0,high->low
76,compound_2,compound_4,CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,3.3506622314453103,3.74124383926392,"(0.3, 0.5]",0.5723379254341129,0.5737625956535339,no_change,31.5,27.0,high->low
77,compound_2,compound_5,CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,3.3506622314453103,4.0,"(0.5, 0.7]",0.5723379254341129,0.594391345977783,no_change,31.5,28.0,high->low
78,compound_1,compound_3,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,3.03402948379517,3.58840680122375,"(0.5, 0.7]",0.612738609313965,0.571093559265137,high->low,35.0,29.0,high->low
79,compound_1,compound_4,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,3.03402948379517,3.74124383926392,"(0.7, 0.9]",0.612738609313965,0.5737625956535339,high->low,35.0,27.0,high->low
80,compound_3,compound_4,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,3.58840680122375,3.74124383926392,"(0.1, 0.3]",0.571093559265137,0.5737625956535339,no_change,29.0,27.0,no_change
81,compound_3,compound_5,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,3.58840680122375,4.0,"(0.3, 0.5]",0.571093559265137,0.594391345977783,no_change,29.0,28.0,no_change
82,compound_3,compound_6,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,3.58840680122375,3.70453214645386,"(0.1, 0.3]",0.571093559265137,0.621301591396332,low->high,29.0,28.8,no_change
83,compound_4,compound_5,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,3.74124383926392,4.0,"(0.1, 0.3]",0.5737625956535339,0.594391345977783,no_change,27.0,28.0,no_change
84,compound_6,compound_4,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,3.70453214645386,3.74124383926392,"(-0.1, 0.1]",0.621301591396332,0.5737625956535339,high->low,28.8,27.0,no_change
85,compound_7,compound_4,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,3.6040050983429,3.74124383926392,"(0.1, 0.3]",0.66837352514267,0.5737625956535339,high->low,28.1,27.0,no_change
86,compound_6,compound_5,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,3.70453214645386,4.0,"(0.1, 0.3]",0.621301591396332,0.594391345977783,high->low,28.8,28.0,no_change
87,compound_7,compound_5,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,3.6040050983429,4.0,"(0.3, 0.5]",0.66837352514267,0.594391345977783,high->low,28.1,28.0,no_change
88,compound_8,compound_5,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,3.5152766704559304,4.0,"(0.3, 0.5]",0.707224428653717,0.594391345977783,high->low,32.5,28.0,high->low
89,compound_7,compound_6,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,3.6040050983429,3.70453214645386,"(0.1, 0.3]",0.66837352514267,0.621301591396332,no_change,28.1,28.8,no_change
90,compound_8,compound_6,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,3.5152766704559304,3.70453214645386,"(0.1, 0.3]",0.707224428653717,0.621301591396332,no_change,32.5,28.8,high->low
91,compound_9,compound_6,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,3.52287874528034,3.70453214645386,"(0.1, 0.3]",0.739490389823914,0.621301591396332,no_change,29.6,28.8,no_change
92,compound_8,compound_7,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,3.5152766704559304,3.6040050983429,"(-0.1, 0.1]",0.707224428653717,0.66837352514267,no_change,32.5,28.1,high->low
93,compound_9,compound_7,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,3.52287874528034,3.6040050983429,"(-0.1, 0.1]",0.739490389823914,0.66837352514267,no_change,29.6,28.1,no_change
94,compound_10,compound_7,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,3.48148606012211,3.6040050983429,"(0.1, 0.3]",0.778180956840515,0.66837352514267,no_change,35.5,28.1,high->low
95,compound_8,compound_9,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,3.5152766704559304,3.52287874528034,"(-0.1, 0.1]",0.707224428653717,0.739490389823914,no_change,32.5,29.6,high->low
96,compound_10,compound_8,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,3.48148606012211,3.5152766704559304,"(-0.1, 0.1]",0.778180956840515,0.707224428653717,no_change,35.5,32.5,no_change
97,compound_10,compound_9,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,3.48148606012211,3.52287874528034,"(-0.1, 0.1]",0.778180956840515,0.739490389823914,no_change,35.5,29.6,high->low
98,compound_295,compound_37,CCOCCOCCOCCOCCOCCOC(O)C(CC)CC,CCCCCCCC(O)OCCOCCOCCOCCOCC,1.0,2.0362121726544498,"(0.9, 1.1]",0.657604157924652,0.655966341495514,no_change,32.6958541870117,29.861690521240202,high->low
